,Player,GP,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,AST/TO,STL/TO,EFF
1,Kevin Durant (OKC),81,3122,2593,849,1688,50.30%,192,491,39.10%,703,805,87.30%,58,540,598,445,103,59,285,174,1.56,0.36,2572
2,Carmelo Anthony (NYK),77,2982,2112,743,1643,45.20%,167,415,40.20%,459,541,84.80%,145,477,622,242,95,51,198,224,1.22,0.48,1942
3,LeBron James (MIA),77,2902,2089,767,1353,56.70%,116,306,37.90%,439,585,75.00%,81,452,533,488,121,26,270,126,1.81,0.45,2255
4,Kevin Love (MIN),77,2797,2010,650,1421,45.70%,190,505,37.60%,520,633,82.10%,224,739,963,341,59,35,196,136,1.74,0.3,2328
5,Blake Griffin (LAC),80,2863,1930,718,1359,52.80%,12,44,27.30%,482,674,71.50%,192,565,757,309,92,51,224,265,1.38,0.41,2082
6,Stephen Curry (GSW),78,2846,1873,652,1383,47.10%,261,615,42.40%,308,348,88.50%,46,288,334,666,128,14,294,194,2.27,0.44,1950
7,James Harden (HOU),73,2777,1851,549,1205,45.60%,177,483,36.60%,576,665,86.60%,61,283,344,446,115,29,265,177,1.68,0.43,1775
8,DeMar DeRozan (TOR),79,3017,1791,604,1407,42.90%,64,210,30.50%,519,630,82.40%,51,292,343,313,86,28,176,197,1.78,0.49,1471
9,Paul George (IND),80,2898,1737,577,1362,42.40%,182,500,36.40%,401,464,86.40%,64,478,542,283,151,22,224,198,1.26,0.67,1663
10,Dirk Nowitzki (DAL),80,2628,1735,633,1273,49.70%,131,329,39.80%,338,376,89.90%,40,458,498,216,73,45,117,165,1.85,0.62,1772
11,Damian Lillard (POR),82,2937,1695,553,1304,42.40%,218,554,39.40%,371,426,87.10%,35,253,288,457,64,22,193,197,2.37,0.33,1527
12,DeMarcus Cousins (SAC),71,2298,1614,591,1191,49.60%,0,7,0.00%,432,595,72.60%,218,613,831,207,109,91,251,270,0.83,0.43,1838
13,LaMarcus Aldridge (POR),69,2499,1603,652,1423,45.80%,3,15,20.00%,296,360,82.20%,166,599,765,178,63,68,123,147,1.45,0.51,1719
14,Al Jefferson (CHA),73,2553,1594,700,1376,50.90%,3,15,20.00%,191,277,69.00%,156,636,792,155,67,79,124,176,1.25,0.54,1801
15,John Wall (WAS),82,2980,1583,579,1337,43.30%,108,308,35.10%,317,394,80.50%,38,295,333,721,149,40,295,219,2.44,0.51,1696
16,Monta Ellis (DAL),82,3023,1560,576,1278,45.10%,69,209,33.00%,339,430,78.80%,38,257,295,471,141,23,264,197,1.78,0.53,1433
17,Goran Dragic (PHX),76,2668,1542,552,1093,50.50%,122,299,40.80%,316,416,76.00%,69,176,245,447,104,22,213,206,2.1,0.49,1506
18,Klay Thompson (GSW),81,2868,1488,559,1259,44.40%,223,535,41.70%,147,185,79.50%,38,211,249,181,74,37,135,234,1.34,0.55,1156
