TEAM,W
Atlanta Hawks,38
Boston Celtics,25
Brooklyn Nets,44
Charlotte Bobcats,43
Chicago Bulls,48
Cleveland Cavaliers,33
Dallas Mavericks,49
Denver Nuggets,36
Detroit Pistons,29
Golden State Warriors,51
Houston Rockets,54
Indiana Pacers,56
Los Angeles Clippers,57
Los Angeles Lakers,27
Memphis Grizzlies,50
Miami Heat,54
Milwaukee Bucks,15
Minnesota Timberwolves,40
New Orleans Pelicans,34
New York Knicks,37
Oklahoma City Thunder,59
Orlando Magic,23
Philadelphia 76ers,19
Phoenix Suns,48
Portland Trail Blazers,54
Sacramento Kings,28
San Antonio Spurs,62
Toronto Raptors,48
Utah Jazz,25
Washington Wizards,44
