Player,TEAM,FG%,3P%,FT%,REB,AST,STL,PTS
Kevin Durant,OKC,50.3,39.1,87.3,7.4,5.5,1.3,32
Carmelo Anthony,NYK,45.2,40.2,84.8,8.1,3.1,1.2,27.4
LeBron James,MIA,56.7,37.9,75,6.9,6.3,1.6,27.1
Kevin Love,MIN,45.7,37.6,82.1,12.5,4.4,0.8,26.1
James Harden,HOU,45.6,36.6,86.6,4.7,6.1,1.6,25.4
Blake Griffin,LAC,52.8,27.3,71.5,9.5,3.9,1.2,24.1
Stephen Curry,GSW,47.1,42.4,88.5,4.3,8.5,1.6,24
LaMarcus Aldridge,POR,45.8,20,82.2,11.1,2.6,0.9,23.2
DeMarcus Cousins,SAC,49.6,0,72.6,11.7,2.9,1.5,22.7
DeMar DeRozan,TOR,42.9,30.5,82.4,4.3,4,1.1,22.7
Al Jefferson,CHA,50.9,20,69,10.8,2.1,0.9,21.8
Russell Westbrook,OKC,43.7,31.8,82.6,5.7,6.9,1.9,21.8
Dirk Nowitzki,DAL,49.7,39.8,89.9,6.2,2.7,0.9,21.7
Paul George,IND,42.4,36.4,86.4,6.8,3.5,1.9,21.7
Kyrie Irving,CLE,43,35.8,86.1,3.6,6.1,1.5,20.8
Anthony Davis,NOP,51.9,22.2,79.1,10,1.6,1.3,20.8
Brook Lopez,BKN,56.3,0,81.7,6,0.9,0.5,20.7
Damian Lillard,POR,42.4,39.4,87.1,3.5,5.6,0.8,20.7
Goran Dragic,PHX,50.5,40.8,76,3.2,5.9,1.4,20.3
Isaiah Thomas,SAC,45.3,34.9,85,2.9,6.3,1.3,20.3
Rudy Gay,SAC,45.5,33,82.2,6,2.9,1.3,20
Ryan Anderson,NOP,43.8,40.9,95.2,6.5,0.8,0.5,19.8
John Wall,WAS,43.3,35.1,80.5,4.1,8.8,1.8,19.3
Chris Paul,LAC,46.7,36.8,85.5,4.3,10.7,2.5,19.1
Kevin Martin,MIN,43,38.7,89.1,3,1.8,1,19.1
Dwyane Wade,MIA,54.5,28.1,73.3,4.5,4.7,1.5,19
Monta Ellis,DAL,45.1,33,78.8,3.6,5.7,1.7,19
Al Horford,ATL,56.7,36.4,68.2,8.4,2.6,0.9,18.6
Jamal Crawford,LAC,41.6,36.1,86.6,2.3,3.2,0.9,18.6
Klay Thompson,GSW,44.4,41.7,79.5,3.1,2.2,0.9,18.4
Dwight Howard,HOU,59.1,28.6,54.7,12.2,1.8,0.8,18.3
David Lee,GSW,52.3,0,78,9.3,2.1,0.7,18.2
Arron Afflalo,ORL,45.9,42.7,81.5,3.6,3.4,0.5,18.2
Kyle Lowry,TOR,42.3,38,81.3,4.7,7.4,1.5,17.9
Brandon Knight,MIL,42.2,32.5,80.2,3.5,4.9,1,17.9
Nick Young,LAL,43.5,38.6,82.5,2.6,1.5,0.7,17.9
Thaddeus Young,PHI,45.4,30.8,71.2,6,2.3,2.1,17.9
Paul Millsap,ATL,46.1,35.8,73.1,8.5,3.1,1.7,17.9
Kemba Walker,CHA,39.3,33.3,83.7,4.2,6.1,1.2,17.7
Eric Bledsoe,PHX,47.7,35.7,77.2,4.7,5.5,1.6,17.7
Ty Lawson,DEN,43.1,35.6,79.8,3.5,8.8,1.6,17.6
Nikola Pekovic,MIN,54.1,0,74.7,8.7,0.9,0.6,17.5
Pau Gasol,LAL,48,28.6,73.6,9.7,3.4,0.5,17.4
Zach Randolph,MEM,46.7,10,74.2,10.1,2.5,0.7,17.4
Mike Conley,MEM,45,36.1,81.5,2.9,6,1.5,17.2
Bradley Beal,WAS,41.9,40.2,78.8,3.7,3.3,1,17.1
Jeff Green,BOS,41.2,34.1,79.5,4.6,1.7,0.7,16.9
Michael Carter-Williams,PHI,40.5,26.4,70.3,6.2,6.3,1.9,16.7
Tony Parker,SAS,49.9,37.3,81.1,2.3,5.7,0.5,16.7
Chandler Parsons,HOU,47.2,37,74.2,5.5,4,1.2,16.6
Jeff Teague,ATL,43.8,32.9,84.6,2.6,6.7,1.1,16.5
Josh Smith,DET,41.9,26.4,53.2,6.8,3.3,1.4,16.4
Wesley Matthews,POR,44.1,39.3,83.7,3.5,2.4,0.9,16.4
Gordon Hayward,UTA,41.3,30.4,81.6,5.1,5.2,1.4,16.2
Chris Bosh,MIA,51.6,33.9,82,6.6,1.1,1,16.2
Luol Deng,CLE,43.1,30.2,79.1,5.7,2.9,1,16
Derrick Rose,CHI,35.4,34,84.4,3.2,4.3,0.5,15.9
Dion Waiters,CLE,43.3,36.8,68.5,2.8,3,0.9,15.9
Joe Johnson,BKN,45.4,40.1,81.5,3.4,2.7,0.6,15.8
Gerald Green,PHX,44.5,40,84.8,3.4,1.5,0.9,15.8
